year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix
2022,1,University of Oxford,"20,835",10.7,42%,47 : 53,
2022,2,California Institute of Technology,"2,233",6.3,34%,36 : 64,=
2022,2,Harvard University,"21,574",9.5,24%,50 : 50,=
2022,4,Stanford University,"16,319",7.3,23%,46 : 54,
2022,5,University of Cambridge,"19,680",11.1,39%,47 : 53,=
2022,5,Massachusetts Institute of Technology,"11,459",8.4,33%,40 : 60,=
2022,7,Princeton University,"7,753",7.5,23%,47 : 53,
2022,8,"University of California, Berkeley","40,306",18.9,23%,51 : 49,
2022,9,Yale University,"13,317",5.9,21%,51 : 49,
2022,10,The University of Chicago,"14,895",6.1,33%,46 : 54,
2022,11,Columbia University,"21,608",4.6,35%,,
2022,12,Imperial College London,"17,715",11.2,59%,40 : 60,
2022,13,Johns Hopkins University,"16,552",4.3,28%,52 : 48,=
2022,13,University of Pennsylvania,"21,211",6.4,22%,53 : 47,=
2022,15,ETH Zurich,"20,428",14.4,41%,32 : 68,
2022,16,Peking University,"31,606",10.2,19%,46 : 54,=
2022,16,Tsinghua University,"38,221",11.5,13%,34 : 66,=
2022,18,University of Toronto,"75,821",25.5,25%,57 : 43,=
2022,18,UCL,"35,760",10.6,57%,58 : 42,=
2022,20,"University of California, Los Angeles","42,054",10.0,17%,55 : 45,
2022,21,National University of Singapore,"31,819",18.8,25%,50 : 50,
2022,22,Cornell University,"23,600",10.3,25%,50 : 50,
2022,23,Duke University,"15,785",4.2,22%,52 : 48,
2022,24,University of Michigan-Ann Arbor,"44,663",8.1,17%,50 : 50,=
2022,24,Northwestern University,"18,735",13.0,19%,50 : 50,=
2022,26,New York University,"45,424",11.0,35%,57 : 43,
2022,27,London School of Economics and Political Science,"10,910",12.1,72%,53 : 47,
2022,28,Carnegie Mellon University,"14,163",13.5,47%,43 : 57,
2022,29,University of Washington,"52,059",11.6,17%,54 : 46,
2022,30,University of Edinburgh,"31,630",12.1,44%,61 : 39,=
2022,30,University of Hong Kong,"18,037",18.3,43%,54 : 46,=
2022,32,LMU Munich,"34,274",33.7,18%,61 : 39,
2022,33,University of Melbourne,"52,098",26.5,50%,57 : 43,
2022,34,"University of California, San Diego","36,256",12.2,29%,48 : 52,
2022,35,King’s College London,"28,250",12.0,49%,62 : 38,=
2022,35,The University of Tokyo,"25,959",10.6,14%,,=
2022,37,University of British Columbia,"54,744",18.9,33%,55 : 45,
2022,38,Technical University of Munich,"32,672",38.7,33%,37 : 63,
2022,39,Karolinska Institute,"7,937",9.6,24%,69 : 31,
2022,40,École Polytechnique Fédérale de Lausanne,"11,266",12.3,62%,29 : 71,=
2022,40,Paris Sciences et Lettres – PSL Research University Paris,"20,547",15.1,25%,47 : 53,=
2022,42,Universität Heidelberg,"19,530",13.9,19%,55 : 45,=
2022,42,KU Leuven,"46,327",36.3,16%,51 : 49,=
2022,44,McGill University,"31,581",12.6,32%,59 : 41,
2022,45,Georgia Institute of Technology,"27,838",25.7,25%,33 : 67,
2022,46,"Nanyang Technological University, Singapore","23,951",14.7,24%,48 : 52,
2022,47,University of Texas at Austin,"49,845",16.7,10%,53 : 47,
2022,48,University of Illinois at Urbana-Champaign,"47,202",18.3,23%,48 : 52,
2022,49,The Chinese University of Hong Kong,"18,478",19.1,25%,,
2022,50,University of Manchester,"36,545",14.3,43%,54 : 46,
2022,51,Washington University in St Louis,"14,243",7.9,22%,,
2022,52,University of North Carolina at Chapel Hill,"31,064",8.1,8%,58 : 42,
