year,Rank,Name,No. of FTE students,No. of students per staff,International students,Female:Male ratio,rank_prefix
2018,36,King’s College London,"23,205",12.0,41%,62 : 38,
2018,37,University of Illinois at Urbana-Champaign,"43,402",22.8,23%,46 : 54,
2018,38,École Polytechnique Fédérale de Lausanne,"9,928",11.2,55%,28 : 72,=
2018,38,Karolinska Institute,"7,424",10.9,19%,68 : 32,=
2018,40,University of Hong Kong,"18,364",18.0,42%,54 : 46,
2018,41,Technical University of Munich,"38,689",54.4,23%,34 : 66,
2018,42,McGill University,"30,940",13.3,26%,57 : 43,
2018,43,University of Wisconsin-Madison,"38,960",10.7,12%,51 : 49,
2018,44,The Hong Kong University of Science and Technology,"10,214",23.1,31%,,
2018,45,Universität Heidelberg,"28,876",23.2,17%,55 : 45,
2018,46,The University of Tokyo,"26,000",6.7,10%,,
2018,47,KU Leuven,"44,412",37.1,15%,50 : 50,
2018,48,Australian National University,"15,986",19.3,35%,52 : 48,
2018,49,University of Texas at Austin,"48,561",17.1,10%,51 : 49,
2018,50,Brown University,"8,898",10.7,20%,,=
2018,50,Washington University in St Louis,"12,600",7.5,17%,,=
2018,52,"Nanyang Technological University, Singapore","25,499",16.3,31%,48 : 52,
2018,53,"University of California, Santa Barbara","23,054",28.1,14%,52 : 48,
2018,54,"University of California, Davis","37,365",13.8,10%,56 : 44,=
2018,54,University of Manchester,"35,320",14.6,38%,52 : 48,=
2018,56,University of Minnesota,"60,949",17.4,11%,51 : 49,=
2018,56,University of North Carolina at Chapel Hill,"34,684",9.7,8%,56 : 44,=
2018,58,The Chinese University of Hong Kong,"18,072",17.3,31%,,
2018,59,University of Amsterdam,"23,495",12.3,12%,57 : 43,
2018,60,Purdue University West Lafayette,"38,770",17.4,23%,42 : 58,
2018,61,The University of Sydney,"44,553",21.6,32%,57 : 43,
2018,62,Humboldt University of Berlin,"32,172",56.5,17%,,
2018,63,Delft University of Technology,"17,057",19.6,27%,28 : 72,
2018,64,Wageningen University & Research,"12,326",19.7,29%,55 : 45,
2018,65,The University of Queensland,"38,968",35.7,26%,55 : 45,
2018,66,University of Southern California,"38,380",12.8,23%,53 : 47,
2018,67,Leiden University,"24,825",18.2,12%,57 : 43,
2018,68,Utrecht University,"31,522",15.2,7%,59 : 41,
2018,69,"University of Maryland, College Park","31,772",16.5,10%,48 : 52,
2018,70,Boston University,"24,833",8.6,25%,60 : 40,=
2018,70,Ohio State University (Main campus),"53,190",12.7,13%,49 : 51,=
2018,72,Erasmus University Rotterdam,"22,047",20.1,20%,49 : 51,=
2018,72,Paris Sciences et Lettres – PSL Research University Paris,"19,978",10.1,25%,,=
2018,74,Kyoto University,"22,481",8.7,8%,24 : 76,=
2018,74,Seoul National University,"26,470",12.6,11%,,=
2018,76,University of Bristol,"19,995",13.7,27%,53 : 47,
2018,77,Penn State (Main campus),"45,411",15.2,14%,46 : 54,
2018,78,McMaster University,"23,693",24.7,15%,52 : 48,
2018,79,RWTH Aachen University,"43,721",57.7,18%,32 : 68,
2018,80,University of Glasgow,"23,390",15.4,36%,58 : 42,=
2018,80,Monash University,"46,846",33.7,28%,57 : 43,=
2018,82,University of Freiburg,"20,871",40.3,19%,57 : 43,
2018,83,University of Groningen,"26,197",24.1,17%,52 : 48,=
2018,83,Michigan State University,"44,556",17.0,17%,51 : 49,=
2018,85,UNSW Sydney,"40,133",26.7,34%,46 : 54,
2018,86,Rice University,"6,441",9.0,28%,43 : 57,=
2018,86,Uppsala University,"25,174",17.3,11%,57 : 43,=
2018,88,Free University of Berlin,"34,114",57.0,21%,59 : 41,
2018,89,Dartmouth College,"6,100",6.6,15%,47 : 53,
2018,90,University of Helsinki,"22,532",16.2,6%,65 : 35,
2018,91,University of Warwick,"18,425",13.0,39%,48 : 52,
2018,92,Technical University of Berlin,"22,390",64.3,20%,34 : 66,
2018,93,Lund University,"28,663",12.1,16%,55 : 45,
2018,94,University of Tübingen,"27,844",38.5,13%,59 : 41,
2018,95,University of Basel,"12,729",17.7,27%,55 : 45,=
2018,95,Korea Advanced Institute of Science and Technology (KAIST),"9,464",10.6,9%,20 : 80,=
2018,97,Durham University,"16,310",14.9,29%,54 : 46,
2018,98,Emory University,"12,649",4.4,19%,57 : 43,
2018,99,"University of California, Irvine","30,419",17.0,21%,52 : 48,
2018,100,University of Bonn,"35,619",77.9,13%,55 : 45,=
2018,100,University of Colorado Boulder,"30,780",16.3,10%,44 : 56,=
2018,100,University of Pittsburgh-Pittsburgh campus,"26,367",5.9,10%,52 : 48,=
2018,103,Maastricht University,"16,727",18.0,50%,58 : 42,
2018,104,University of Sheffield,"24,580",14.9,36%,50 : 50,
2018,105,University of Bern,"10,449",16.5,15%,56 : 44,=
2018,105,Vanderbilt University,"12,011",3.3,13%,53 : 47,=
2018,107,Ghent University,"35,909",35.9,10%,53 : 47,
2018,108,Université de Montréal,"41,017",21.9,22%,55 : 45,
2018,109,Aarhus University,"25,167",14.3,12%,54 : 46,=
2018,109,University of Copenhagen,"30,395",4.1,14%,58 : 42,=
2018,111,Sungkyunkwan University (SKKU),"24,055",19.6,12%,42 : 58,=
2018,111,The University of Western Australia,"18,787",21.8,25%,49 : 51,=
2018,113,University of Göttingen,"28,554",27.9,12%,50 : 50,=
2018,113,University of Virginia (Main campus),"24,055",9.7,12%,52 : 48,=
2018,115,École Polytechnique – Institut Polytechnique de Paris,"2,799",5.1,36%,21 : 79,
2018,116,Fudan University,"32,859",12.1,10%,51 : 49,
2018,117,Indiana University,"66,835",14.1,15%,52 : 48,=
2018,117,Trinity College Dublin,"16,157",22.8,27%,58 : 42,=
2018,119,University of Alberta,"32,435",21.6,26%,55 : 45,=
2018,119,City University of Hong Kong,"9,240",11.2,35%,54 : 46,=
2018,121,Queen Mary University of London,"15,405",13.3,45%,54 : 46,
2018,122,Radboud University Nijmegen,"19,358",19.1,12%,56 : 44,
2018,123,Georgetown University,"15,956",8.6,17%,54 : 46,=
2018,123,Pierre and Marie Curie University,"25,117",12.3,20%,49 : 51,=
2018,125,University of Mannheim,"10,995",74.5,16%,54 : 46,
2018,126,Arizona State University (Tempe),"44,475",20.1,19%,43 : 57,=
2018,126,Charité - Universitätsmedizin Berlin,"6,792",16.2,18%,63 : 37,=
2018,126,University of Southampton,"21,670",12.5,33%,53 : 47,=
2018,129,Université Catholique de Louvain,"24,451",37.8,19%,54 : 46,
2018,130,University of Exeter,"19,160",17.5,28%,55 : 45,=
2018,130,University of Geneva,"16,085",15.1,40%,61 : 39,=
2018,132,University of Science and Technology of China,"16,032",8.2,3%,,
2018,133,Karlsruhe Institute of Technology,"25,824",26.3,18%,27 : 73,
2018,134,University of Adelaide,"21,241",34.3,26%,48 : 52,=
2018,134,Stockholm University,"33,156",24.9,8%,,=
2018,136,University of Zurich,"26,363",5.9,20%,57 : 43,
2018,137,Pohang University of Science and Technology (POSTECH),"3,046",10.4,4%,22 : 78,=
2018,137,University of York,"14,960",15.0,27%,55 : 45,=
2018,139,University of Leeds,"27,995",14.7,26%,60 : 40,
2018,140,Pompeu Fabra University,"11,172",20.8,12%,59 : 41,
2018,141,University of Birmingham,"27,060",15.0,27%,54 : 46,=
2018,141,Eindhoven University of Technology,"7,637",18.6,17%,28 : 72,=
2018,143,University of Florida,"46,346",17.5,9%,54 : 46,=
2018,143,University of St Andrews,"9,005",13.1,48%,58 : 42,=
2018,145,University of Cologne,"45,087",50.9,10%,65 : 35,
2018,146,University of Oslo,"27,730",18.6,19%,60 : 40,
2018,147,Universitat Autònoma de Barcelona (UAB),"32,309",12.9,16%,59 : 41,=
2018,147,University of Nottingham,"29,175",14.0,30%,54 : 46,=
2018,147,University of Sussex,"12,385",15.4,38%,55 : 45,=
2018,150,Lancaster University,"11,635",13.1,38%,51 : 49,=
2018,150,University of Notre Dame,"11,912",13.4,11%,45 : 55,=
2018,152,University of Lausanne,"13,065",13.6,25%,,
2018,153,University of Rochester,"9,636",4.3,29%,49 : 51,=
2018,153,Technical University of Denmark,"8,548",6.0,24%,29 : 71,=
2018,155,Sant’Anna School of Advanced Studies – Pisa,690,11.7,14%,37 : 63,=
2018,155,TU Dresden,"34,514",35.9,13%,42 : 58,=
2018,155,Ulm University,"10,657",28.4,13%,48 : 52,=
2018,158,Case Western Reserve University,"10,130",7.1,19%,49 : 51,
2018,159,University of Leicester,"14,635",14.1,38%,54 : 46,=
2018,159,Texas A&M University,"56,245",23.6,9%,48 : 52,=
2018,161,University of Arizona,"38,334",13.0,9%,52 : 48,
2018,162,"University of California, Santa Cruz","17,866",23.0,4%,52 : 48,=
2018,162,Cardiff University,"24,185",13.5,26%,58 : 42,=
2018,162,University of Erlangen-Nuremberg,"38,730",58.5,12%,49 : 51,=
2018,165,University of Vienna,"35,375",20.8,26%,66 : 34,=
2018,165,Vrije Universiteit Amsterdam,"24,554",18.1,7%,56 : 44,=
2018,165,University of Würzburg,"22,537",33.9,9%,57 : 43,=
2018,168,University of Alabama at Birmingham,"15,703",15.2,6%,61 : 39,
2018,169,Nanjing University,"33,456",14.2,10%,50 : 50,=
2018,169,Tufts University,"10,463",9.3,16%,54 : 46,=
2018,171,University of Cape Town,"20,775",11.7,18%,53 : 47,
2018,172,Rutgers University–New Brunswick,"43,439",11.1,10%,52 : 48,
2018,173,KTH Royal Institute of Technology,"12,951",16.0,17%,33 : 67,=
2018,173,University of Münster,"42,287",42.6,7%,53 : 47,=
2018,175,Université Libre de Bruxelles,"25,343",43.4,35%,55 : 45,=
2018,175,Newcastle University,"20,950",15.6,30%,49 : 51,=
2018,177,University of Liverpool,"19,815",11.7,35%,54 : 46,=
2018,177,Zhejiang University,"50,051",14.1,6%,22 : 78,=
2018,179,University of Luxembourg,"4,969",14.6,57%,50 : 50,=
2018,179,University of Twente,"6,697",12.8,27%,37 : 63,=
2018,181,Paris-Sud University,"27,221",14.5,16%,55 : 45,
2018,182,École Normale Supérieure de Lyon,"2,221",8.5,13%,47 : 53,=
2018,182,The Hong Kong Polytechnic University,"21,773",26.9,25%,51 : 49,=
2018,184,Scuola Normale Superiore di Pisa,515,5.2,7%,30 : 70,
2018,185,University of Aberdeen,"12,055",13.9,36%,55 : 45,
2018,186,University of Miami,"15,860",5.9,16%,51 : 49,
2018,187,University of Dundee,"10,895",14.9,24%,62 : 38,
2018,188,University of East Anglia,"13,520",13.6,30%,60 : 40,=
2018,188,Shanghai Jiao Tong University,"37,288",12.4,6%,41 : 59,=
2018,190,Aalto University,"12,744",20.2,20%,34 : 66,
2018,191,University of Massachusetts,"59,230",13.3,14%,49 : 51,
2018,192,University of Auckland,"30,348",18.8,29%,54 : 46,
2018,193,"Northeastern University, US","18,780",14.0,32%,49 : 51,
2018,194,Lomonosov Moscow State University,"29,236",7.3,22%,48 : 52,
2018,195,Tilburg University,"7,738",22.5,13%,48 : 52,
2018,196,Paris-Sorbonne University – Paris 4,"22,042",30.2,15%,68 : 32,
2018,197,"Royal Holloway, University of London","8,930",15.4,40%,59 : 41,
2018,198,"University of California, Riverside","20,740",20.7,14%,51 : 49,=
2018,198,University of Gothenburg,"18,378",10.0,13%,,=
2018,198,National Taiwan University (NTU),"31,758",11.5,8%,40 : 60,=
2018,201–250,Aalborg University,"15,512",13.6,13%,49 : 51,
2018,201–250,University of Antwerp,"16,056",35.2,16%,53 : 47,
2018,201–250,University of Barcelona,"47,458",12.4,10%,61 : 39,
2018,201–250,University of Bergen,"12,554",12.0,13%,60 : 40,
2018,201–250,University of Bologna,"62,296",22.2,10%,,
2018,201–250,Brandeis University,"5,620",12.9,25%,55 : 45,
2018,201–250,University of Calgary,"27,084",15.7,19%,,
2018,201–250,Chalmers University of Technology,"9,112",11.4,16%,31 : 69,
2018,201–250,University of Cincinnati – Uptown,"28,035",20.7,9%,52 : 48,
2018,201–250,Copenhagen Business School,"19,079",44.3,23%,49 : 51,
2018,201–250,University of Delaware,"20,125",16.8,10%,57 : 43,
2018,201–250,University of Duisburg-Essen,"41,916",53.8,13%,48 : 52,
2018,201–250,Florida State University,"38,386",26.3,7%,55 : 45,
2018,201–250,University of Fribourg,"10,769",45.4,18%,58 : 42,
2018,201–250,George Washington University,"22,015",12.9,16%,58 : 42,
2018,201–250,University of Hamburg,"38,182",48.4,12%,56 : 44,
2018,201–250,University of Hawai’i at Mānoa,"16,256",11.0,13%,56 : 44,
2018,201–250,Hebrew University of Jerusalem,"17,454",11.2,5%,55 : 45,
2018,201–250,University of Iceland,"8,693",15.3,10%,66 : 34,
2018,201–250,University of Iowa,"27,310",12.4,13%,52 : 48,
2018,201–250,James Cook University,"11,867",22.5,12%,62 : 38,
2018,201–250,University of Kiel,"25,392",23.4,8%,53 : 47,
2018,201–250,King Abdulaziz University,"31,554",8.1,21%,54 : 46,
2018,201–250,University of Konstanz,"11,381",48.2,12%,54 : 46,
2018,201–250,Korea University,"23,037",15.6,19%,46 : 54,
2018,201–250,University of Galway,"13,898",26.6,18%,57 : 43,
2018,201–250,The University of Osaka,"23,256",9.5,10%,31 : 69,
2018,201–250,University of Otago,"18,157",19.9,20%,57 : 43,
2018,201–250,University of Ottawa,"35,177",25.6,17%,59 : 41,
2018,201–250,Paris Diderot University – Paris 7,"27,992",14.9,17%,63 : 37,
2018,201–250,University of Passau,"11,804",74.8,9%,61 : 39,
2018,201–250,University of Potsdam,"20,066",59.1,10%,58 : 42,
2018,201–250,Queen’s University Belfast,"17,945",16.6,32%,55 : 45,
2018,201–250,Queensland University of Technology,"35,211",37.0,17%,54 : 46,
2018,201–250,RCSI University of Medicine and Health Sciences,"2,136",17.6,64%,,
2018,201–250,University of Reading,"12,875",14.6,33%,56 : 44,
2018,201–250,Ruhr University Bochum,"43,004",61.1,13%,49 : 51,
2018,201–250,"St George’s, University of London","3,175",14.8,17%,62 : 38,
2018,201–250,University of South Australia,"17,575",25.8,41%,62 : 38,
2018,201–250,University of Stuttgart,"26,059",53.2,18%,31 : 69,
2018,201–250,University of Tampere,"9,360",22.2,3%,66 : 34,
2018,201–250,Technical University of Darmstadt,"17,776",44.5,16%,30 : 70,
2018,201–250,University of Technology Sydney,"25,256",43.6,37%,53 : 47,
2018,201–250,Tel Aviv University,"22,973",23.1,4%,54 : 46,
2018,201–250,University of Texas at Dallas,"22,967",25.4,25%,43 : 57,
2018,201–250,Tohoku University,"17,494",5.5,10%,26 : 74,
2018,201–250,Ulsan National Institute of Science and Technology (UNIST),"4,046",14.3,7%,28 : 72,
2018,201–250,University College Dublin,"21,605",23.0,26%,,
2018,201–250,University of Utah,"30,040",14.5,10%,45 : 55,
2018,201–250,Vita-Salute San Raffaele University,"2,598",7.1,5%,58 : 42,
2018,201–250,University of Waterloo,"32,000",26.1,17%,46 : 54,
2018,201–250,Western University,"28,996",22.0,17%,55 : 45,
2018,201–250,Yonsei University (Seoul campus),"18,038",14.7,21%,45 : 55,
2018,251–300,Aix-Marseille University,"66,623",16.8,12%,58 : 42,
2018,251–300,University of Bath,"12,515",16.3,32%,45 : 55,
2018,251–300,University of Bayreuth,"12,917",37.9,8%,45 : 55,
2018,251–300,Bielefeld University,"23,683",66.8,8%,57 : 43,
2018,251–300,University of Bremen,"19,040",34.2,11%,50 : 50,
2018,251–300,University at Buffalo,"25,247",17.7,18%,45 : 55,
2018,251–300,Clark University,"3,316",11.7,26%,60 : 40,
2018,251–300,University of Colorado Denver/Anschutz Medical Campus,"15,491",5.0,8%,55 : 45,
2018,251–300,Colorado School of Mines,"5,557",17.6,11%,28 : 72,
2018,251–300,Dalhousie University,"15,201",14.9,20%,55 : 45,
2018,251–300,École Nationale des Ponts et Chaussées - Institut Polytechnique de Paris,"1,749",12.3,41%,30 : 70,
2018,251–300,University of Essex,"10,985",16.5,43%,55 : 45,
2018,251–300,Goethe University Frankfurt,"45,387",13.3,15%,58 : 42,
2018,251–300,Griffith University,"31,772",22.3,19%,56 : 44,
2018,251–300,University of Hohenheim,"9,557",42.9,13%,56 : 44,
2018,251–300,University of Illinois Chicago,"25,450",11.4,19%,52 : 48,
2018,251–300,Indian Institute of Science,"3,550",8.4,1%,21 : 79,
2018,251–300,University of Innsbruck,"14,530",13.1,39%,54 : 46,
2018,251–300,Johannes Gutenberg University of Mainz,"34,219",32.1,10%,59 : 41,
2018,251–300,Université Laval,"29,322",16.9,13%,57 : 43,
2018,251–300,Macquarie University,"27,955",31.0,22%,54 : 46,
2018,251–300,University of Marburg,"26,062",37.4,9%,56 : 44,
2018,251–300,Medical University of Vienna,"7,209",2.7,28%,50 : 50,
2018,251–300,Moscow Institute of Physics and Technology (MIPT),"5,761",8.7,12%,20 : 80,
2018,251–300,University of Newcastle,"22,921",22.0,17%,55 : 45,
2018,251–300,North Carolina State University,"30,254",13.1,13%,45 : 55,
2018,251–300,Norwegian University of Science and Technology,"21,571",16.9,11%,46 : 54,
2018,251–300,University of Oregon,"23,728",18.6,14%,52 : 48,
2018,251–300,Oregon Health and Science University,"2,895",1.0,2%,64 : 36,
2018,251–300,University of Oulu,"10,287",23.7,6%,50 : 50,
2018,251–300,Queen’s University,"21,227",22.7,12%,57 : 43,
2018,251–300,University of São Paulo,"82,258",14.8,4%,48 : 52,
2018,251–300,Simon Fraser University,"26,309",27.6,29%,54 : 46,
2018,251–300,University of Southern Denmark,"25,328",13.5,16%,53 : 47,
2018,251–300,University of South Florida (Tampa),"33,053",19.6,12%,,
2018,251–300,Stony Brook University,"23,136",10.4,24%,49 : 51,
2018,251–300,University of Surrey,"11,025",14.2,38%,53 : 47,
2018,251–300,Swansea University,"13,895",16.2,24%,47 : 53,
2018,251–300,Swedish University of Agricultural Sciences,"3,812",4.4,4%,69 : 31,
2018,251–300,Syracuse University,"20,180",16.3,19%,54 : 46,
2018,251–300,Tokyo Institute of Technology,"9,570",7.3,13%,14 : 86,
2018,251–300,University of Trento,"17,759",29.4,8%,51 : 49,
2018,251–300,Umeå University,"16,553",11.7,10%,60 : 40,
2018,251–300,Wake Forest University,"7,579",4.1,6%,51 : 49,
2018,251–300,William & Mary,"8,044",11.8,9%,55 : 45,
2018,251–300,University of the Witwatersrand,"25,342",24.6,8%,56 : 44,
2018,251–300,University of Wollongong,"16,947",27.0,24%,50 : 50,
2018,301–350,Aberystwyth University,"7,920",18.4,18%,47 : 53,
2018,301–350,University of Alaska Fairbanks,"3,769",8.3,6%,51 : 49,
2018,301–350,Anglia Ruskin University (ARU),"15,195",21.7,25%,62 : 38,
2018,301–350,Babol Noshirvani University of Technology,"4,749",28.6,0%,32 : 68,
2018,301–350,Bangor University,"9,325",18.5,25%,55 : 45,
2018,301–350,"Birkbeck, University of London","9,015",16.9,39%,54 : 46,
2018,301–350,University of Bordeaux,"52,526",21.0,12%,58 : 42,
2018,301–350,Boston College,"12,943",16.1,12%,55 : 45,
2018,301–350,Brighton and Sussex Medical School,760,11.7,16%,59 : 41,
2018,301–350,Charles Darwin University,"6,551",22.4,32%,63 : 37,
2018,301–350,University of Connecticut,"26,669",12.7,12%,51 : 49,
2018,301–350,Deakin University,"36,768",32.9,17%,58 : 42,
2018,301–350,University of Denver,"9,671",13.2,11%,56 : 44,
2018,301–350,University of Eastern Finland,"11,459",18.3,6%,63 : 37,
2018,301–350,Flinders University,"16,757",23.9,18%,63 : 37,
2018,301–350,Free University of Bozen-Bolzano,"3,304",11.6,12%,33 : 67,
2018,301–350,George Mason University,"27,749",17.5,8%,54 : 46,
2018,301–350,"Goldsmiths, University of London","7,415",13.9,37%,66 : 34,
2018,301–350,Grenoble Alpes University,"39,298",17.0,15%,57 : 43,
2018,301–350,University of Houston,"41,128",42.9,10%,50 : 50,
2018,301–350,Iowa State University,"31,307",18.8,12%,45 : 55,
2018,301–350,University of Kent,"16,950",12.6,31%,53 : 47,
2018,301–350,Khalifa University,"3,134",8.3,32%,46 : 54,
2018,301–350,Koç University,"5,172",14.9,10%,52 : 48,
2018,301–350,University of Liège,"21,910",27.1,23%,56 : 44,
2018,301–350,Loughborough University,"13,455",14.9,22%,39 : 61,
2018,301–350,Medical University of Graz,"3,323",6.9,23%,53 : 47,
2018,301–350,University of Milan,"56,805",28.1,5%,59 : 41,
2018,301–350,Nagoya University,"15,594",7.9,10%,29 : 71,
2018,301–350,National Tsing Hua University,"10,194",13.8,5%,33 : 67,
2018,301–350,University of Navarra,"10,827",14.9,19%,53 : 47,
2018,301–350,University of Nebraska-Lincoln,"22,578",16.3,12%,47 : 53,
2018,301–350,Oregon State University,"23,668",16.2,10%,47 : 53,
2018,301–350,Politecnico di Milano,"33,189",23.8,14%,34 : 66,
2018,301–350,Rensselaer Polytechnic Institute,"7,240",15.7,17%,32 : 68,
2018,301–350,Rush University,"2,437",2.1,3%,73 : 27,
2018,301–350,Sapienza University of Rome,"111,453",32.1,7%,58 : 42,
2018,301–350,University of Stirling,"8,505",15.1,21%,62 : 38,
2018,301–350,University of Tartu,"8,835",11.6,5%,66 : 34,
2018,301–350,University of Tasmania,"11,346",14.5,22%,60 : 40,
2018,301–350,Technion Israel Institute of Technology,"14,693",21.7,5%,34 : 66,
2018,301–350,The University of Tennessee-Knoxville,"25,264",16.4,5%,,
2018,301–350,Tomsk Polytechnic University,"9,858",8.2,24%,36 : 64,
2018,301–350,TU Dortmund University,"32,870",99.6,10%,45 : 55,
2018,301–350,TU Wien,"17,931",36.5,28%,29 : 71,
2018,301–350,Victoria University,"14,795",31.4,20%,54 : 46,
2018,301–350,University of Victoria,"18,388",22.8,15%,57 : 43,
2018,301–350,Virginia Polytechnic Institute and State University,"30,975",18.2,11%,43 : 57,
2018,301–350,Vrije Universiteit Brussel,"12,785",22.2,21%,53 : 47,
2018,301–350,Washington State University,"27,135",19.7,7%,52 : 48,
2018,351–400,The University of Alabama,"33,679",22.2,5%,54 : 46,
2018,351–400,American University,"11,534",11.7,13%,64 : 36,
2018,351–400,Aston University,"8,990",20.0,31%,49 : 51,
2018,351–400,Autonomous University of Madrid,"29,305",13.4,13%,60 : 40,
2018,351–400,Brunel University of London,"11,360",16.0,41%,46 : 54,
2018,351–400,University of Canberra,"11,438",30.3,28%,52 : 48,
2018,351–400,University of Canterbury,"11,931",16.8,21%,50 : 50,
2018,351–400,"City, University of London","13,460",17.3,53%,56 : 44,
2018,351–400,"Colorado State University, Fort Collins","23,921",15.9,6%,53 : 47,
2018,351–400,Université Côte d'Azur,"33,839",21.8,23%,55 : 45,
2018,351–400,University of Crete,"14,522",26.2,4%,62 : 38,
2018,351–400,Curtin University,"31,483",18.5,37%,52 : 48,
2018,351–400,Cyprus University of Technology,"3,072",18.7,8%,57 : 43,
2018,351–400,Drexel University,"20,714",10.9,18%,49 : 51,
2018,351–400,University of Toulouse,"98,538",24.6,17%,53 : 47,
2018,351–400,University of Georgia (USA),"33,842",16.3,7%,58 : 42,
2018,351–400,Georgia State University,"28,593",18.9,6%,69 : 31,
2018,351–400,Gwangju Institute of Science and Technology (GIST),"1,731",11.5,6%,25 : 75,
2018,351–400,Hanyang University,"20,879",14.6,17%,,
2018,351–400,Heriot-Watt University,"9,260",16.4,41%,42 : 58,
2018,351–400,HSE University,"17,241",9.5,7%,,
2018,351–400,Indian Institute of Technology Bombay,"9,870",17.9,1%,17 : 83,
2018,351–400,Justus Liebig University Giessen,"28,201",47.3,9%,61 : 39,
2018,351–400,University of Kansas,"24,515",7.2,9%,51 : 49,
2018,351–400,Kyushu University,"18,696",7.6,12%,29 : 71,
2018,351–400,La Trobe University,"20,343",34.5,26%,63 : 37,
2018,351–400,Leibniz University Hannover,"25,162",65.3,12%,41 : 59,
2018,351–400,Linköping University,"18,740",8.1,11%,53 : 47,
2018,351–400,University of Macau,"9,230",14.5,33%,58 : 42,
2018,351–400,University of Malaya,"21,990",10.9,18%,66 : 34,
2018,351–400,Montpellier University,"39,828",19.9,14%,53 : 47,
2018,351–400,Örebro University,"8,800",16.4,2%,61 : 39,
2018,351–400,University of Padua,"62,218",30.8,4%,55 : 45,
2018,351–400,University of Pavia,"23,632",37.2,7%,56 : 44,
2018,351–400,University of Pisa,"50,810",28.9,4%,52 : 48,
2018,351–400,Royal Veterinary College,"1,855",10.0,18%,75 : 25,
2018,351–400,Sabancı University,"3,247",20.0,9%,41 : 59,
2018,351–400,University of Salerno,"37,230",51.4,1%,60 : 40,
2018,351–400,University of South Carolina-Columbia,"30,869",18.2,5%,55 : 45,
2018,351–400,Stellenbosch University,"23,207",26.1,8%,54 : 46,
2018,351–400,University of Strasbourg,"41,399",16.5,19%,58 : 42,
2018,351–400,Sun Yat-sen University,"51,089",16.3,9%,51 : 49,
2018,351–400,Temple University,"33,958",11.5,8%,52 : 48,
2018,351–400,University of Trieste,"17,054",24.8,8%,56 : 44,
2018,351–400,Tulane University,"11,193",11.0,11%,56 : 44,
2018,351–400,University of Turku,"12,263",15.7,5%,62 : 38,
2018,351–400,University College Cork,"15,890",21.8,17%,56 : 44,
2018,351–400,University of Vermont,"10,992",8.9,3%,56 : 44,
2018,351–400,Université de Versailles Saint-Quentin-en-Yvelines,"17,323",22.4,14%,59 : 41,
2018,351–400,University of Waikato,"10,019",17.0,27%,56 : 44,
2018,351–400,Wayne State University,"22,215",10.8,9%,56 : 44,
2018,351–400,York University,"46,146",40.8,23%,58 : 42,
2018,401–500,Auckland University of Technology,"17,861",15.8,42%,59 : 41,
2018,401–500,University of Bari Aldo Moro,"47,856",60.5,2%,63 : 37,
2018,401–500,Bar-Ilan University,"16,412",17.5,5%,61 : 39,
2018,401–500,University of Bergamo,"16,769",55.5,6%,63 : 37,
